DEPARTAMENTO,PROVINCIA,DISTRITO,DISTANCIA,UBIGEO,ANIO,TOTAL_POBLACION,TOTAL_VIVIENDA,VIVIENDAS_HABITADAS,POBLACION_CON_COBERTURA,POBLACION_SIN_COBERTURA,FECHA_CORTE,Latitude,Longitude
CUSCO,CANCHIS,SICUANI,165,80601,2018,208,52,52,208.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,288,96,96,288.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,45,17,14,45.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,140,35,35,140.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,79,25,25,79.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,52,17,15,52.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,132,33,33,132.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,42,12,12,42.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,136,36,36,136.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,217,62,62,217.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,240,54,48,240.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,300,100,95,300.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,120,38,30,120.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,80,20,20,80.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,5,3,2,5.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,3,1,1,3.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,136,34,34,136.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,22,8,8,22.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2018,35,7,7,35.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,9,4,4,9.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,32,18,16,32.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2018,21,7,7,21.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,30,6,6,30.0,0.0,20230810,-14.2846792,-72.0407386
